id,lon,lat
0,10.9597932,44.6114398
1,10.9591942,44.6123726
2,10.9584474,44.613615
3,10.9571077,44.615896
4,10.9568945,44.6162988
5,10.942986,44.629528
6,10.9422204,44.6299188
7,10.9415948,44.6305366
8,10.9403729,44.6318132
9,10.939307,44.6326363
10,10.9365826,44.6340961
11,10.9359911,44.6344836
12,10.9349489,44.6351554
13,10.9401329,44.6303954
14,10.939447,44.6363663
15,10.9493114,44.6367242
16,10.9628537,44.6311003
17,10.964461,44.6304165
18,10.967661,44.6290337
19,10.9771281,44.6249689
20,10.9793133,44.6240727
21,10.9816258,44.6231214
22,10.9691046,44.602161
23,10.9691287,44.6036073
24,10.9692752,44.6040743
25,10.9694921,44.6044199
26,10.9698091,44.6051327
27,10.9626255,44.6087091
28,10.9605772,44.6106935
29,10.9514876,44.6267495
30,10.9536164,44.629544
31,10.9587415,44.6366479
32,10.9636412,44.648305
33,10.9619634,44.6503098
34,10.9563172,44.6543512
35,10.952561,44.658521
36,10.9237714,44.6722758
37,10.9404297,44.6293455
38,10.9406201,44.6284325
39,10.9409047,44.6268374
40,10.9411533,44.6245757
41,10.9412819,44.6234687
42,10.940071,44.6188992
43,10.9399791,44.6182626
44,10.9400814,44.6181976
45,10.9412441,44.6175673
46,10.9412563,44.6174967
47,10.9407606,44.6274993
48,10.9427658,44.6258702
49,10.9417998,44.624848
50,10.9420099,44.6233789
51,10.9498474,44.6316003
52,10.8672799,44.6506434
53,10.8737228,44.6498268
54,10.8733382,44.6502399
55,10.8732611,44.650663
56,10.8731201,44.6526215
57,10.8732939,44.6531641
58,10.8641784,44.656991
59,10.8646016,44.6565691
60,10.8660079,44.6557883
61,10.8678597,44.6551115
62,10.8647447,44.6579696
63,10.8669321,44.658626
64,10.8675538,44.658711
65,10.8688441,44.6512903
66,10.8772721,44.6548061
67,10.8811888,44.6563422
68,10.8851256,44.657732
69,10.8854562,44.6577888
70,10.8863118,44.6578692
71,10.8905703,44.6581802
72,10.8917808,44.6582682
73,10.8961006,44.6585821
74,10.897024,44.6584108
75,10.8977173,44.6581442
76,10.9005979,44.6570318
77,10.9008621,44.6568363
78,10.9026828,44.6548634
79,10.9034507,44.654496
80,10.9041049,44.6544679
81,10.9043089,44.6544943
82,10.9060571,44.6548513
83,10.9063086,44.6548322
84,10.9069916,44.6545929
85,10.9127481,44.6521972
86,10.9177254,44.6496898
87,10.9309633,44.6443743
88,10.8631255,44.6488324
89,10.8721888,44.6526818
90,10.8707553,44.652082
91,10.8700233,44.6517734
92,10.8722908,44.6527269
93,10.8726464,44.6527764
94,10.8728917,44.6527402
95,10.8733106,44.652398
96,10.8734457,44.6522045
97,10.8736004,44.6518734
98,10.8736552,44.6515848
99,10.8735583,44.6511536
100,10.8681688,44.6509978
101,10.8684334,44.6510091
102,10.8687906,44.6508965
103,10.8690347,44.6506846
104,10.8709992,44.6505859
105,10.8715537,44.6511164
106,10.8715761,44.6509577
107,10.8714856,44.6507882
108,10.8701704,44.6504519
109,10.8697252,44.6504136
110,10.8693549,44.6504922
111,10.8688453,44.6509471
112,10.8688034,44.6511014
113,10.932259,44.6042093
114,10.9375183,44.6350559
115,10.9453088,44.6340466
116,10.9441601,44.6290854
117,10.9511876,44.6359524
118,10.949601,44.6276132
119,10.9514689,44.6293012
120,10.9515366,44.6296334
121,10.9516262,44.6296832
122,10.9516798,44.6297424
