id,lon,lat
,,
,,
,,
121933747,10.9597932,44.6114398
121933748,10.9591942,44.6123726
121933749,10.9584474,44.613615
121933750,10.9571077,44.615896
121933751,10.9568945,44.6162988
121933767,10.942986,44.629528
121933768,10.9422204,44.6299188
121933770,10.9415948,44.6305366
121933771,10.9403729,44.6318132
121933774,10.939307,44.6326363
121933781,10.9365826,44.6340961
121933784,10.9359911,44.6344836
121933787,10.9349489,44.6351554
121936531,10.9401329,44.6303954
121937125,10.939447,44.6363663
121942029,10.9484033,44.6370405
121942030,10.9493114,44.6367242
121942038,10.9628537,44.6311003
121942039,10.964461,44.6304165
121942042,10.967661,44.6290337
121942048,10.9771281,44.6249689
121942049,10.9793133,44.6240727
121942050,10.9816258,44.6231214
121994408,10.9691046,44.602161
121995285,10.9691287,44.6036073
121995286,10.9692752,44.6040743
121995287,10.9694921,44.6044199
121995289,10.9698091,44.6051327
121995297,10.9626255,44.6087091
121995298,10.9605772,44.6106935
122006187,10.9514876,44.6267495
122006196,10.9536164,44.629544
122006213,10.9587415,44.6366479
122006248,10.9636412,44.648305
122006257,10.9619634,44.6503098
122006264,10.9563172,44.6543512
122006274,10.952561,44.658521
122006309,10.9237714,44.6722758
122016164,10.9404297,44.6293455
122016170,10.9406201,44.6284325
122016173,10.9409047,44.6268374
122016181,10.9411533,44.6245757
122016184,10.9412819,44.6234687
122016196,10.940071,44.6188992
122016199,10.9399791,44.6182626
122016200,10.9400814,44.6181976
122017014,10.9412441,44.6175673
122017018,10.9412563,44.6174967
122019311,10.9407606,44.6274993
122021994,10.9427658,44.6258702
122021995,10.9417998,44.624848
122021998,10.9420099,44.6233789
122029287,10.9498474,44.6316003
123622920,10.8672799,44.6506434
123623565,10.8737228,44.6498268
123623567,10.8733382,44.6502399
123623568,10.8732611,44.650663
123623572,10.8731201,44.6526215
123623573,10.8732939,44.6531641
123623998,10.8641784,44.656991
123624002,10.8646016,44.6565691
123624003,10.8660079,44.6557883
123624008,10.8678597,44.6551115
123624849,10.8647447,44.6579696
123624851,10.8669321,44.658626
123624853,10.8675538,44.658711
123626859,10.8688441,44.6512903
123627914,10.8772721,44.6548061
123627917,10.8811888,44.6563422
123627919,10.8851256,44.657732
123627921,10.8854562,44.6577888
123627922,10.8863118,44.6578692
123627924,10.8905703,44.6581802
123627926,10.8917808,44.6582682
123627930,10.8961006,44.6585821
123627932,10.897024,44.6584108
123627933,10.8977173,44.6581442
123627935,10.9005979,44.6570318
123627937,10.9008621,44.6568363
123627940,10.9026828,44.6548634
123627941,10.9034507,44.654496
123627942,10.9041049,44.6544679
123627943,10.9043089,44.6544943
123627944,10.9060571,44.6548513
123627946,10.9063086,44.6548322
123627947,10.9069916,44.6545929
123627950,10.9127481,44.6521972
123627953,10.9177254,44.6496898
123627968,10.9309633,44.6443743
123644826,10.8631255,44.6488324
123645567,10.8721888,44.6526818
123645996,10.8707553,44.652082
123646344,10.8700233,44.6517734
123646877,10.8722908,44.6527269
123646879,10.8726464,44.6527764
123646881,10.8728917,44.6527402
123646883,10.8733106,44.652398
123646885,10.8734457,44.6522045
123646886,10.8736004,44.6518734
123646888,10.8736552,44.6515848
123646889,10.8735583,44.6511536
