ID_STATION,DATE,PARAM,VALUE
1,2024-02-04,PM10,13
14,2024-02-04,PM10,31
15,2024-02-04,PM10,16
16,2024-02-04,PM10,43
17,2024-02-04,PM10,18
18,2024-02-04,PM10,49
19,2024-02-04,PM10,50
20,2024-02-04,PM10,51
22,2024-02-04,PM10,20
23,2024-02-04,PM10,25
24,2024-02-04,PM10,52
25,2024-02-04,PM10,14
