ID_STATION,DATE,PARAM,VALUE
1,2024-02-04,PM10,23
14,2024-02-04,PM10,29
15,2024-02-04,PM10,24
16,2024-02-04,PM10,25
17,2024-02-04,PM10,27
18,2024-02-04,PM10,35
19,2024-02-04,PM10,34
20,2024-02-04,PM10,31
22,2024-02-04,PM10,30
23,2024-02-04,PM10,30
24,2024-02-04,PM10,35
25,2024-02-04,PM10,29
