COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
4000022,5,02/01/2024 00:00,27,S
4000022,5,03/01/2024 00:00,22,S
4000022,5,04/01/2024 00:00,34,S
4000022,5,05/01/2024 00:00,37,S
4000022,5,06/01/2024 00:00,37,S
4000022,5,07/01/2024 00:00,9,S
4000022,5,08/01/2024 00:00,20,S
4000022,5,09/01/2024 00:00,26,S
4000022,5,10/01/2024 00:00,32,S
4000022,5,11/01/2024 00:00,44,S
4000022,5,12/01/2024 00:00,45,S
4000022,5,13/01/2024 00:00,41,S
4000022,5,14/01/2024 00:00,50,S
4000022,5,15/01/2024 00:00,44,S
4000022,5,16/01/2024 00:00,59,S
4000022,5,17/01/2024 00:00,63,S
4000022,5,18/01/2024 00:00,50,S
4000022,5,19/01/2024 00:00,33,S
4000022,5,20/01/2024 00:00,52,S
4000022,5,21/01/2024 00:00,34,S
4000022,5,22/01/2024 00:00,38,S
4000022,5,23/01/2024 00:00,46,S
4000022,5,24/01/2024 00:00,58,S
4000022,5,25/01/2024 00:00,60,S
4000022,5,26/01/2024 00:00,82,S
4000022,5,27/01/2024 00:00,87,S
4000022,5,28/01/2024 00:00,52,S
4000022,5,29/01/2024 00:00,47,S
4000022,5,30/01/2024 00:00,48,S
4000022,5,31/01/2024 00:00,48,S
4000022,5,01/02/2024 00:00,54,S
4000022,5,02/02/2024 00:00,49,S
4000022,5,03/02/2024 00:00,51,S
4000022,5,04/02/2024 00:00,48,S
4000022,5,05/02/2024 00:00,57,S
4000022,5,06/02/2024 00:00,68,S
4000022,5,07/02/2024 00:00,68,S
4000022,5,08/02/2024 00:00,49,S
4000022,5,09/02/2024 00:00,41,S
4000022,5,10/02/2024 00:00,48,S
4000022,5,11/02/2024 00:00,35,S
4000022,5,12/02/2024 00:00,26,S
4000022,5,13/02/2024 00:00,20,S
4000022,5,14/02/2024 00:00,49,S
4000022,5,15/02/2024 00:00,54,S
4000022,5,16/02/2024 00:00,57,S
4000022,5,17/02/2024 00:00,84,S
4000022,5,18/02/2024 00:00,101,S
4000022,5,19/02/2024 00:00,93,S
4000022,5,20/02/2024 00:00,93,S
4000022,5,21/02/2024 00:00,73,S
4000022,5,22/02/2024 00:00,46,S
4000022,5,23/02/2024 00:00,36,S
4000022,5,04/03/2024 00:00,15,S
4000022,5,05/03/2024 00:00,18,S
4000022,5,06/03/2024 00:00,20,S
4000022,5,07/03/2024 00:00,15,S
4000022,5,08/03/2024 00:00,17,S
4000022,5,09/03/2024 00:00,23,S
4000022,5,10/03/2024 00:00,16,S
4000022,5,11/03/2024 00:00,7,S
4000022,5,12/03/2024 00:00,17,S
4000022,5,13/03/2024 00:00,15,S
4000022,5,14/03/2024 00:00,33,S
4000022,5,15/03/2024 00:00,47,S
4000022,5,16/03/2024 00:00,33,S
4000022,5,17/03/2024 00:00,21,S
